contribution_date,Bernie Sanders,Pete Buttigieg,Elizabeth Warren,Kamala Harris,Joe Biden,Donald Trump,Beto O'Rourke,Cory Booker,Amy Klobuchar,Jay Inslee,Kirsten Gillibrand,Andrew Yang,John Hickenlooper,Tulsi Gabbard,Marianne Williamson,Julián Castro,Michael Bennet,Steve Bullock,Seth Moulton,John Delaney,Eric Swalwell,Bill de Blasio,Tim Ryan,Wayne Messam,Mike Gravel
2019-01-01,,,118.0,,,315.0,,,,,,1.0,,,2.0,10.0,,,,2.0,,,,,
2019-01-02,,,214.0,,,62.0,,,,,,3.0,,,1.0,2.0,,,,1.0,,,,,
2019-01-03,,,156.0,,,99.0,,,,,1.0,1.0,,,,5.0,,,,,,,,,
2019-01-04,,,101.0,,,97.0,,,,,2.0,,,,,4.0,,,,,,,,,
2019-01-05,,,53.0,,,64.0,,,,,,1.0,,,1.0,13.0,,,,,,,,,
2019-01-06,,,33.0,,,269.0,,,,,1.0,1.0,,,1.0,12.0,,,,1.0,,,,,
2019-01-07,,,33.0,,,128.0,,,,,,,,,3.0,13.0,,,,1.0,,,,,
2019-01-08,,,42.0,,,417.0,,,,,1.0,7.0,,,1.0,1.0,,,,,,,,,
2019-01-09,,,56.0,,,575.0,,,,,2.0,,,,1.0,4.0,,,,1.0,,,,,
2019-01-10,,,25.0,,,408.0,,,,,2.0,1.0,,,,3.0,,,,2.0,,,,,
2019-01-11,,,19.0,,,276.0,,,,,1.0,3.0,,,1.0,,,,,1.0,,,,,
2019-01-12,,,64.0,,,185.0,,,,,3.0,1.0,,,,32.0,,,,,,,,,
2019-01-13,,,19.0,,,65.0,,,,,2.0,1.0,,126.0,1.0,15.0,,,,1.0,,,,,
2019-01-14,,,37.0,,,60.0,,,,,2.0,2.0,,4.0,1.0,4.0,,,,1.0,,,,,
2019-01-15,,,33.0,,,61.0,,,,,75.0,5.0,,2.0,3.0,6.0,,,,2.0,,,,,
2019-01-16,,,25.0,,,197.0,,,,,103.0,1.0,,4.0,6.0,17.0,,,,,,,,,
2019-01-17,,,58.0,,,409.0,,,,,53.0,1.0,,1.0,,5.0,,,,,,,,,
2019-01-18,,,53.0,,,117.0,,,,,29.0,2.0,,10.0,2.0,7.0,,,,,,,,,
2019-01-19,,,44.0,1.0,,72.0,,,,,16.0,,,3.0,3.0,4.0,,,,1.0,,,,,
2019-01-20,,,40.0,,,60.0,,,,,22.0,1.0,,74.0,1.0,13.0,,,,,,,,,
2019-01-21,,,44.0,1507.0,,86.0,,,,,22.0,3.0,,4.0,,9.0,,,,1.0,,,,,
2019-01-22,,,65.0,511.0,,70.0,,,,,23.0,13.0,,1.0,41.0,6.0,,,,2.0,,,,,
2019-01-23,,99.0,116.0,204.0,,74.0,,,,,33.0,1.0,,2.0,19.0,2.0,,,,,,,,,
2019-01-24,,17.0,97.0,110.0,,75.0,,,,,12.0,1.0,,37.0,8.0,3.0,,,,2.0,,,,,
2019-01-25,,9.0,85.0,90.0,,67.0,,,,,22.0,2.0,,,4.0,8.0,,,,3.0,,,,,
2019-01-26,,,50.0,69.0,,69.0,,,,,7.0,,,3.0,2.0,,,,,1.0,,,,,
2019-01-27,,1.0,70.0,472.0,,66.0,,,,,15.0,,,52.0,4.0,3.0,,,,,,,,,
2019-01-28,,2.0,124.0,649.0,,90.0,,,,,18.0,1.0,,4.0,49.0,6.0,,,,4.0,,,,,
2019-01-29,,1.0,182.0,240.0,,209.0,,,,,26.0,1.0,,1.0,68.0,4.0,,,,1.0,,,,,
2019-01-30,,3.0,197.0,109.0,,367.0,,,,,20.0,,,,45.0,30.0,,,,6.0,,,,,
2019-01-31,,17.0,251.0,307.0,,317.0,,,,,34.0,,,28.0,27.0,18.0,,,,7.0,,,,,
2019-02-01,,,68.0,258.0,,380.0,,395.0,,,16.0,5.0,,1.0,15.0,13.0,,,,11.0,,,,,
2019-02-02,,1.0,65.0,94.0,,91.0,,119.0,,,8.0,,,4.0,13.0,3.0,,,,5.0,,,,,
2019-02-03,,6.0,56.0,56.0,,239.0,,45.0,,,9.0,,,61.0,7.0,2.0,,,,1.0,,,,,
2019-02-04,,5.0,72.0,89.0,,352.0,,45.0,,,12.0,3.0,,,31.0,2.0,,,,13.0,,,,,
2019-02-05,,8.0,28.0,168.0,,476.0,,70.0,,,14.0,,,23.0,3.0,8.0,,,,3.0,,,,,
2019-02-06,,1.0,85.0,108.0,,462.0,,34.0,,,15.0,6.0,,,27.0,7.0,,,,4.0,,,,,
2019-02-07,,6.0,92.0,223.0,,98.0,,39.0,2.0,,15.0,1.0,,28.0,16.0,2.0,,,,5.0,,,,,
2019-02-08,,8.0,125.0,268.0,,96.0,,32.0,3.0,,16.0,1.0,,14.0,5.0,6.0,,,,5.0,,,,,
2019-02-09,,11.0,600.0,102.0,,167.0,,35.0,3.0,,10.0,5.0,,3.0,4.0,1.0,,,,,,,,,
2019-02-10,,10.0,221.0,58.0,,238.0,,25.0,460.0,,13.0,3.0,,67.0,6.0,8.0,,,,2.0,,,,,
2019-02-11,,7.0,100.0,85.0,,125.0,,57.0,330.0,,13.0,4.0,,2.0,25.0,6.0,,,,1.0,,,,,
2019-02-12,,10.0,79.0,53.0,,154.0,,55.0,155.0,,13.0,8.0,,27.0,21.0,12.0,,,,8.0,,,,,
2019-02-13,,7.0,107.0,237.0,,105.0,,78.0,65.0,,37.0,13.0,,1.0,18.0,7.0,,,,7.0,,,,,
2019-02-14,,24.0,55.0,217.0,,70.0,,74.0,51.0,,30.0,13.0,,18.0,25.0,2.0,,,,6.0,,,,,
2019-02-15,,20.0,60.0,123.0,,234.0,,67.0,51.0,,35.0,13.0,,3.0,32.0,3.0,,,,4.0,,,,,
2019-02-16,,20.0,65.0,94.0,,412.0,,28.0,49.0,,17.0,6.0,,2.0,11.0,5.0,,,,,,,,,
2019-02-17,,19.0,45.0,102.0,,301.0,,27.0,46.0,,26.0,6.0,,44.0,10.0,4.0,,,,1.0,,,,,
